Rank ,Major ,Degree Type ,Early Career Pay ,Mid-Career Pay  ,
88,Marketing & Management,Bachelor's,"$44,700 ","$84,800 ",
89,Real Estate,Bachelor's,"$55,400 ","$84,500 ",
90 (tie),Organizational Behavior,Bachelor's,"$47,000 ","$84,400 ",
90 (tie),Supply Chain Management,Bachelor's,"$54,500 ","$84,400 ",
92 (tie),Civil Engineering Technology (CET),Bachelor's,"$51,300 ","$84,300 ",
92 (tie),Information Technology (IT),Bachelor's,"$53,000 ","$84,300 ",
92 (tie),Politics,Bachelor's,"$45,600 ","$84,300 ",
95,Philosophy,Bachelor's,"$44,700 ","$84,100 ",
96,Industrial Engineering Technology,Bachelor's,"$60,100 ","$83,600 ",
97,Industrial Technology (IT),Bachelor's,"$55,200 ","$83,400 ",
98 (tie),Agribusiness,Bachelor's,"$43,200 ","$83,100 ",
98 (tie),Public Affairs,Bachelor's,"$46,800 ","$83,100 ",
100 (tie),Biochemistry (BCH),Bachelor's,"$44,700 ","$83,000 ",
100 (tie),Business Management & Marketing,Bachelor's,"$45,000 ","$83,000 ",
100 (tie),Chemistry,Bachelor's,"$45,700 ","$83,000 ",
103,Computer Information Systems,Bachelor's,"$47,100 ","$82,800 ",
104,Meteorology,Bachelor's,"$43,600 ","$82,700 ",
105,Computer Programming,Bachelor's,"$50,500 ","$82,600 ",
106,Marketing,Bachelor's,"$45,300 ","$82,500 ",
107 (tie),Industrial Design (ID),Bachelor's,"$48,600 ","$82,100 ",
107 (tie),Occupational Health and Safety,Bachelor's,"$54,900 ","$82,100 ",
109,Financial Accounting,Bachelor's,"$45,100 ","$82,000 ",
110,Pre-Medicine,Bachelor's,"$42,700 ","$81,200 ",
111,Food Science,Bachelor's,"$46,700 ","$81,100 ",
112,Sales & Marketing,Bachelor's,"$45,400 ","$80,800 ",
113,Risk Management & Insurance,Bachelor's,"$52,300 ","$80,600 ",
114,Food Science & Technology,Bachelor's,"$49,000 ","$80,400 ",
115 (tie),Biology & Chemistry,Bachelor's,"$41,500 ","$79,900 ",
115 (tie),Political Science (PolySci),Bachelor's,"$44,300 ","$79,900 ",
117 (tie),Advertising,Bachelor's,"$41,400 ","$79,800 ",
117 (tie),Advertising & Marketing Communications,Bachelor's,"$43,400 ","$79,800 ",
117 (tie),Geology,Bachelor's,"$44,800 ","$79,800 ",
120 (tie),Architecture,Bachelor's,"$45,100 ","$79,300 ",
120 (tie),Microbiology,Bachelor's,"$44,600 ","$79,300 ",
122,Biological Sciences,Bachelor's,"$42,900 ","$79,200 ",
123,Marketing & Communications,Bachelor's,"$44,900 ","$79,000 ",
124,Transportation & Logistics Management,Bachelor's,"$47,800 ","$78,900 ",
125,Marketing Management,Bachelor's,"$45,300 ","$78,500 ",
126,Urban & Regional Planning,Bachelor's,"$44,000 ","$78,100 ",
127 (tie),Fashion Design,Bachelor's,"$41,400 ","$77,700 ",
127 (tie),Project Management,Bachelor's,"$49,500 ","$77,700 ",
129,Logistics & Supply Chain Management,Bachelor's,"$51,800 ","$77,400 ",
130 (tie),Financial Management,Bachelor's,"$49,300 ","$77,300 ",
130 (tie),Law,Bachelor's,"$47,600 ","$77,300 ",
132 (tie),Accounting,Bachelor's,"$48,300 ","$77,200 ",
132 (tie),Environmental Design,Bachelor's,"$42,900 ","$77,200 ",
134,Organizational Development,Bachelor's,"$52,800 ","$77,100 ",
